sample_1,sample_2,Z_1
SI072_100m_NirK_complete_profile,SI072_10m_NirK_complete_profile,1.27192
SI072_100m_NirK_complete_profile,SI072_120m_NirK_complete_profile,0.181068
SI072_100m_NirK_complete_profile,SI072_135m_NirK_complete_profile,0.201972
SI072_100m_NirK_complete_profile,SI072_150m_NirK_complete_profile,0.293362
SI072_100m_NirK_complete_profile,SI072_165m_NirK_complete_profile,0.442455
SI072_100m_NirK_complete_profile,SI072_200m_NirK_complete_profile,0.426757
SI072_10m_NirK_complete_profile,SI072_120m_NirK_complete_profile,1.18705
SI072_10m_NirK_complete_profile,SI072_135m_NirK_complete_profile,1.29962
SI072_10m_NirK_complete_profile,SI072_150m_NirK_complete_profile,1.18344
SI072_10m_NirK_complete_profile,SI072_165m_NirK_complete_profile,1.38502
SI072_10m_NirK_complete_profile,SI072_200m_NirK_complete_profile,1.06019
SI072_120m_NirK_complete_profile,SI072_135m_NirK_complete_profile,0.195392
SI072_120m_NirK_complete_profile,SI072_150m_NirK_complete_profile,0.1868
SI072_120m_NirK_complete_profile,SI072_165m_NirK_complete_profile,0.435334
SI072_120m_NirK_complete_profile,SI072_200m_NirK_complete_profile,0.381757
SI072_135m_NirK_complete_profile,SI072_150m_NirK_complete_profile,0.266151
SI072_135m_NirK_complete_profile,SI072_165m_NirK_complete_profile,0.387358
SI072_135m_NirK_complete_profile,SI072_200m_NirK_complete_profile,0.386379
SI072_150m_NirK_complete_profile,SI072_165m_NirK_complete_profile,0.437625
SI072_150m_NirK_complete_profile,SI072_200m_NirK_complete_profile,0.297302
SI072_165m_NirK_complete_profile,SI072_200m_NirK_complete_profile,0.567025
